FBBP_var ,static_power_avg PB_var 0 FBBN_var 0 ,static_power_avg PB_var 0 FBBN_var 0.45 ,static_power_avg PB_var 0 FBBN_var 0.9 ,static_power_avg PB_var 0 FBBN_var 1.35 ,static_power_avg PB_var 0 FBBN_var 1.8 ,static_power_avg PB_var 8e-09 FBBN_var 0 ,static_power_avg PB_var 8e-09 FBBN_var 0.45 ,static_power_avg PB_var 8e-09 FBBN_var 0.9 ,static_power_avg PB_var 8e-09 FBBN_var 1.35 ,static_power_avg PB_var 8e-09 FBBN_var 1.8 ,static_power_avg PB_var 1.6e-08 FBBN_var 0 ,static_power_avg PB_var 1.6e-08 FBBN_var 0.45 ,static_power_avg PB_var 1.6e-08 FBBN_var 0.9 ,static_power_avg PB_var 1.6e-08 FBBN_var 1.35 ,static_power_avg PB_var 1.6e-08 FBBN_var 1.8 
-1.800,16.64E-9,17.28E-9,19.09E-9,24.27E-9,38.93E-9,1.466E-9,1.665E-9,2.279E-9,4.156E-9,9.859E-9,347.8E-12,442.0E-12,743.5E-12,1.703E-9,4.730E-9
-1.350,7.149E-9,7.779E-9,9.585E-9,14.74E-9,29.35E-9,601.7E-12,801.0E-12,1.414E-9,3.291E-9,8.990E-9,149.0E-12,243.2E-12,544.6E-12,1.504E-9,4.530E-9
-900.0E-3,3.140E-9,3.769E-9,5.571E-9,10.72E-9,25.30E-9,281.4E-12,480.7E-12,1.094E-9,2.970E-9,8.668E-9,79.48E-12,173.7E-12,475.1E-12,1.434E-9,4.461E-9
-450.0E-3,1.482E-9,2.110E-9,3.910E-9,9.052E-9,23.61E-9,163.7E-12,363.0E-12,975.8E-12,2.852E-9,8.549E-9,55.42E-12,149.6E-12,451.0E-12,1.410E-9,4.436E-9
0.000,804.0E-12,1.432E-9,3.231E-9,8.370E-9,22.92E-9,120.7E-12,320.0E-12,932.8E-12,2.809E-9,8.505E-9,47.16E-12,141.3E-12,442.7E-12,1.402E-9,4.428E-9
