VBBP_val ,INV_in_f_out_r_delay VBBN_val 0 ,INV_in_f_out_r_delay VBBN_val 0.45 ,INV_in_f_out_r_delay VBBN_val 0.9 ,INV_in_f_out_r_delay VBBN_val 1.35 ,INV_in_f_out_r_delay VBBN_val 1.8 
-1.800,4.521E-12,4.531E-12,4.549E-12,4.575E-12,4.615E-12
-1.650,4.657E-12,4.667E-12,4.680E-12,4.706E-12,4.739E-12
-1.500,4.794E-12,4.801E-12,4.815E-12,4.837E-12,4.868E-12
-1.350,4.933E-12,4.938E-12,4.950E-12,4.969E-12,4.999E-12
-1.200,5.076E-12,5.079E-12,5.087E-12,5.104E-12,5.132E-12
-1.050,5.219E-12,5.222E-12,5.229E-12,5.244E-12,5.274E-12
-900.0E-3,5.368E-12,5.367E-12,5.373E-12,5.387E-12,5.410E-12
-750.0E-3,5.517E-12,5.515E-12,5.521E-12,5.532E-12,5.551E-12
-600.0E-3,5.668E-12,5.667E-12,5.670E-12,5.680E-12,5.698E-12
-450.0E-3,5.827E-12,5.827E-12,5.823E-12,5.830E-12,5.846E-12
-300.0E-3,5.989E-12,5.982E-12,5.983E-12,5.989E-12,5.998E-12
-150.0E-3,6.153E-12,6.148E-12,6.144E-12,6.145E-12,6.157E-12
0.000,6.320E-12,6.313E-12,6.310E-12,6.310E-12,6.319E-12
