VBBP_val ,INV_delay_avg VBBN_val 0 ,INV_delay_avg VBBN_val 0.45 ,INV_delay_avg VBBN_val 0.9 ,INV_delay_avg VBBN_val 1.35 ,INV_delay_avg VBBN_val 1.8 
-1.800,5.530E-12,5.317E-12,5.120E-12,4.940E-12,4.780E-12
-1.650,5.595E-12,5.381E-12,5.181E-12,5.000E-12,4.834E-12
-1.500,5.662E-12,5.445E-12,5.244E-12,5.059E-12,4.892E-12
-1.350,5.731E-12,5.512E-12,5.308E-12,5.121E-12,4.952E-12
-1.200,5.803E-12,5.581E-12,5.374E-12,5.185E-12,5.013E-12
-1.050,5.875E-12,5.653E-12,5.443E-12,5.252E-12,5.080E-12
-900.0E-3,5.951E-12,5.725E-12,5.515E-12,5.321E-12,5.144E-12
-750.0E-3,6.028E-12,5.800E-12,5.588E-12,5.392E-12,5.212E-12
-600.0E-3,6.106E-12,5.877E-12,5.663E-12,5.465E-12,5.283E-12
-450.0E-3,6.188E-12,5.959E-12,5.740E-12,5.539E-12,5.355E-12
-300.0E-3,6.272E-12,6.039E-12,5.821E-12,5.619E-12,5.430E-12
-150.0E-3,6.358E-12,6.124E-12,5.903E-12,5.697E-12,5.509E-12
0.000,6.446E-12,6.210E-12,5.988E-12,5.781E-12,5.590E-12
