FBBP_var ,A7_f_S6_f_dly FBBN_var 0 ,A7_f_S6_f_dly FBBN_var 0.15 ,A7_f_S6_f_dly FBBN_var 0.3 ,A7_f_S6_f_dly FBBN_var 0.45 ,A7_f_S6_f_dly FBBN_var 0.6 ,A7_f_S6_f_dly FBBN_var 0.75 ,A7_f_S6_f_dly FBBN_var 0.9 
-900.0E-3,4.532E-9,4.161E-9,3.858E-9,3.606E-9,3.392E-9,3.207E-9,3.043E-9
-750.0E-3,5.190E-9,4.798E-9,4.474E-9,4.201E-9,3.966E-9,3.761E-9,3.577E-9
-600.0E-3,6.015E-9,5.595E-9,5.245E-9,4.945E-9,4.684E-9,4.453E-9,4.244E-9
-450.0E-3,7.056E-9,6.602E-9,6.217E-9,5.883E-9,5.588E-9,5.322E-9,5.079E-9
-300.0E-3,8.379E-9,7.880E-9,7.449E-9,7.069E-9,6.729E-9,6.418E-9,6.131E-9
-150.0E-3,10.07E-9,9.510E-9,9.017E-9,8.578E-9,8.177E-9,7.807E-9,7.460E-9
0.000,12.24E-9,11.60E-9,11.02E-9,10.50E-9,10.02E-9,9.570E-9,9.145E-9
