FBBP_var ,EOP FBBN_var 0 ,EOP FBBN_var 0.15 ,EOP FBBN_var 0.3 ,EOP FBBN_var 0.45 ,EOP FBBN_var 0.6 ,EOP FBBN_var 0.75 ,EOP FBBN_var 0.9 
-900.0E-3,1.317E-15,1.341E-15,1.371E-15,1.411E-15,1.463E-15,1.535E-15,1.633E-15
-750.0E-3,1.241E-15,1.263E-15,1.292E-15,1.331E-15,1.381E-15,1.450E-15,1.544E-15
-600.0E-3,1.186E-15,1.207E-15,1.236E-15,1.273E-15,1.322E-15,1.388E-15,1.479E-15
-450.0E-3,1.146E-15,1.167E-15,1.194E-15,1.230E-15,1.278E-15,1.342E-15,1.430E-15
-300.0E-3,1.116E-15,1.136E-15,1.163E-15,1.198E-15,1.245E-15,1.307E-15,1.393E-15
-150.0E-3,1.094E-15,1.114E-15,1.139E-15,1.174E-15,1.219E-15,1.281E-15,1.365E-15
0.000,1.077E-15,1.096E-15,1.121E-15,1.155E-15,1.200E-15,1.260E-15,1.343E-15
