FBBP_var ,EDP FBBN_var 0 ,EDP FBBN_var 0.15 ,EDP FBBN_var 0.3 ,EDP FBBN_var 0.45 ,EDP FBBN_var 0.6 ,EDP FBBN_var 0.75 ,EDP FBBN_var 0.9 
-900.0E-3,7.692E-24,6.760E-24,6.054E-24,5.533E-24,5.166E-24,4.935E-24,4.832E-24
-750.0E-3,7.934E-24,7.029E-24,6.349E-24,5.851E-24,5.506E-24,5.297E-24,5.218E-24
-600.0E-3,8.383E-24,7.493E-24,6.827E-24,6.344E-24,6.016E-24,5.825E-24,5.770E-24
-450.0E-3,9.056E-24,8.169E-24,7.510E-24,7.036E-24,6.719E-24,6.545E-24,6.514E-24
-300.0E-3,9.987E-24,9.095E-24,8.434E-24,7.962E-24,7.653E-24,7.494E-24,7.487E-24
-150.0E-3,11.23E-24,10.32E-24,9.652E-24,9.175E-24,8.869E-24,8.723E-24,8.742E-24
0.000,12.87E-24,11.93E-24,11.24E-24,10.75E-24,10.44E-24,10.30E-24,10.35E-24
