FBBP_var ,EOP FBBN_var 0 ,EOP FBBN_var 0.15 ,EOP FBBN_var 0.3 ,EOP FBBN_var 0.45 ,EOP FBBN_var 0.6 ,EOP FBBN_var 0.75 ,EOP FBBN_var 0.9 
-900.0E-3,1.001E-15,1.015E-15,1.034E-15,1.060E-15,1.095E-15,1.143E-15,1.209E-15
-750.0E-3,738.9E-18,752.9E-18,771.9E-18,797.9E-18,833.3E-18,881.6E-18,947.6E-18
-600.0E-3,551.4E-18,565.3E-18,584.3E-18,610.3E-18,645.7E-18,693.9E-18,759.9E-18
-450.0E-3,416.9E-18,430.9E-18,449.9E-18,475.8E-18,511.1E-18,559.4E-18,625.3E-18
-300.0E-3,320.5E-18,334.4E-18,353.4E-18,379.3E-18,414.7E-18,462.9E-18,528.7E-18
-150.0E-3,251.3E-18,265.2E-18,284.2E-18,310.1E-18,345.4E-18,393.6E-18,459.4E-18
0.000,201.5E-18,215.4E-18,234.4E-18,260.3E-18,295.6E-18,343.8E-18,409.6E-18
