FBBP_var ,power_avg FBBN_var 0 ,power_avg FBBN_var 0.15 ,power_avg FBBN_var 0.3 ,power_avg FBBN_var 0.45 ,power_avg FBBN_var 0.6 ,power_avg FBBN_var 0.75 ,power_avg FBBN_var 0.9 
-900.0E-3,50.03E-9,50.73E-9,51.68E-9,52.98E-9,54.75E-9,57.17E-9,60.47E-9
-750.0E-3,36.95E-9,37.64E-9,38.60E-9,39.89E-9,41.66E-9,44.08E-9,47.38E-9
-600.0E-3,27.57E-9,28.27E-9,29.22E-9,30.51E-9,32.28E-9,34.70E-9,37.99E-9
-450.0E-3,20.85E-9,21.54E-9,22.49E-9,23.79E-9,25.56E-9,27.97E-9,31.26E-9
-300.0E-3,16.03E-9,16.72E-9,17.67E-9,18.97E-9,20.73E-9,23.14E-9,26.44E-9
-150.0E-3,12.56E-9,13.26E-9,14.21E-9,15.50E-9,17.27E-9,19.68E-9,22.97E-9
0.000,10.08E-9,10.77E-9,11.72E-9,13.01E-9,14.78E-9,17.19E-9,20.48E-9
