FBBP_var ,power_avg FBBN_var 0 ,power_avg FBBN_var 0.15 ,power_avg FBBN_var 0.3 ,power_avg FBBN_var 0.45 ,power_avg FBBN_var 0.6 ,power_avg FBBN_var 0.75 ,power_avg FBBN_var 0.9 
-900.0E-3,161.2E-9,163.4E-9,166.4E-9,170.5E-9,176.0E-9,183.8E-9,195.0E-9
-750.0E-3,150.3E-9,152.5E-9,155.3E-9,159.2E-9,164.4E-9,171.7E-9,182.1E-9
-600.0E-3,142.5E-9,144.6E-9,147.4E-9,151.1E-9,156.1E-9,163.0E-9,172.8E-9
-450.0E-3,136.9E-9,139.0E-9,141.6E-9,145.2E-9,150.0E-9,156.7E-9,166.0E-9
-300.0E-3,132.8E-9,134.8E-9,137.4E-9,140.9E-9,145.6E-9,152.0E-9,160.9E-9
-150.0E-3,129.8E-9,131.7E-9,134.2E-9,137.6E-9,142.2E-9,148.5E-9,157.1E-9
0.000,127.4E-9,129.3E-9,131.8E-9,135.1E-9,139.7E-9,145.8E-9,154.2E-9
