FBBP_var ,A7_r_S6_r_dly FBBN_var 0 ,A7_r_S6_r_dly FBBN_var 0.15 ,A7_r_S6_r_dly FBBN_var 0.3 ,A7_r_S6_r_dly FBBN_var 0.45 ,A7_r_S6_r_dly FBBN_var 0.6 ,A7_r_S6_r_dly FBBN_var 0.75 ,A7_r_S6_r_dly FBBN_var 0.9 
-900.0E-3,858.0E-12,789.9E-12,731.7E-12,681.7E-12,638.5E-12,600.8E-12,567.8E-12
-750.0E-3,896.3E-12,826.6E-12,767.2E-12,716.0E-12,671.7E-12,633.1E-12,599.1E-12
-600.0E-3,939.2E-12,868.0E-12,807.2E-12,754.8E-12,709.4E-12,669.6E-12,634.6E-12
-450.0E-3,987.7E-12,915.0E-12,852.7E-12,798.9E-12,752.2E-12,711.2E-12,675.0E-12
-300.0E-3,1.043E-9,968.5E-12,904.6E-12,849.3E-12,801.1E-12,758.8E-12,721.2E-12
-150.0E-3,1.106E-9,1.030E-9,964.2E-12,907.3E-12,857.4E-12,813.5E-12,774.3E-12
0.000,1.179E-9,1.101E-9,1.033E-9,974.2E-12,922.5E-12,876.6E-12,835.7E-12
