FBBP_var ,delay_avg FBBN_var 0 ,delay_avg FBBN_var 0.15 ,delay_avg FBBN_var 0.3 ,delay_avg FBBN_var 0.45 ,delay_avg FBBN_var 0.6 ,delay_avg FBBN_var 0.75 ,delay_avg FBBN_var 0.9 
-900.0E-3,802.0E-12,752.7E-12,709.9E-12,672.4E-12,639.4E-12,610.0E-12,583.8E-12
-750.0E-3,853.2E-12,802.4E-12,758.2E-12,719.4E-12,685.1E-12,654.6E-12,627.2E-12
-600.0E-3,911.5E-12,859.0E-12,813.3E-12,773.1E-12,737.4E-12,705.6E-12,676.9E-12
-450.0E-3,978.3E-12,924.1E-12,876.6E-12,834.8E-12,797.6E-12,764.2E-12,734.0E-12
-300.0E-3,1.055E-9,999.2E-12,949.8E-12,906.1E-12,867.0E-12,831.9E-12,800.0E-12
-150.0E-3,1.145E-9,1.086E-9,1.035E-9,988.9E-12,947.7E-12,910.5E-12,876.5E-12
0.000,1.250E-9,1.188E-9,1.134E-9,1.085E-9,1.042E-9,1.002E-9,965.6E-12
