pw ,INV_in_r_out_f_delay nw 8e-08 ,INV_in_r_out_f_delay nw 1.2e-07 ,INV_in_r_out_f_delay nw 1.6e-07 ,INV_in_r_out_f_delay nw 2e-07 ,INV_in_r_out_f_delay nw 2.4e-07 ,INV_in_r_out_f_delay nw 2.8e-07 
160.0E-9,7.179E-12,5.908E-12,5.273E-12,4.898E-12,4.656E-12,4.491E-12
200.0E-9,7.528E-12,6.175E-12,5.495E-12,5.093E-12,4.831E-12,4.651E-12
240.0E-9,7.869E-12,6.437E-12,5.715E-12,5.285E-12,5.003E-12,4.810E-12
280.0E-9,8.204E-12,6.695E-12,5.932E-12,5.474E-12,5.174E-12,4.966E-12
320.0E-9,8.535E-12,6.951E-12,6.146E-12,5.663E-12,5.345E-12,5.121E-12
360.0E-9,8.863E-12,7.204E-12,6.359E-12,5.850E-12,5.513E-12,5.276E-12
400.0E-9,9.188E-12,7.456E-12,6.571E-12,6.037E-12,5.682E-12,5.431E-12
440.0E-9,9.510E-12,7.705E-12,6.782E-12,6.223E-12,5.849E-12,5.585E-12
480.0E-9,9.830E-12,7.954E-12,6.992E-12,6.408E-12,6.017E-12,5.739E-12
520.0E-9,10.15E-12,8.202E-12,7.202E-12,6.593E-12,6.184E-12,5.893E-12
560.0E-9,10.46E-12,8.449E-12,7.411E-12,6.777E-12,6.351E-12,6.048E-12
600.0E-9,10.78E-12,8.696E-12,7.620E-12,6.961E-12,6.518E-12,6.202E-12
