pw ,static_C_delay_avg nw 8e-08 ,static_C_delay_avg nw 1.2e-07 ,static_C_delay_avg nw 1.6e-07 ,static_C_delay_avg nw 2e-07 ,static_C_delay_avg nw 2.4e-07 ,static_C_delay_avg nw 2.8e-07 
160.0E-9,47.48E-12,45.38E-12,44.80E-12,45.00E-12,45.62E-12,46.51E-12
200.0E-9,46.82E-12,43.93E-12,42.78E-12,42.52E-12,42.74E-12,43.27E-12
240.0E-9,46.95E-12,43.37E-12,41.74E-12,41.10E-12,41.02E-12,41.27E-12
280.0E-9,47.55E-12,43.34E-12,41.29E-12,40.33E-12,39.98E-12,40.00E-12
320.0E-9,48.44E-12,43.65E-12,41.21E-12,39.96E-12,39.38E-12,39.21E-12
360.0E-9,49.53E-12,44.19E-12,41.39E-12,39.88E-12,39.09E-12,38.74E-12
400.0E-9,50.75E-12,44.88E-12,41.75E-12,39.99E-12,39.01E-12,38.50E-12
440.0E-9,52.06E-12,45.69E-12,42.23E-12,40.25E-12,39.10E-12,38.44E-12
480.0E-9,53.46E-12,46.59E-12,42.82E-12,40.62E-12,39.30E-12,38.51E-12
520.0E-9,54.90E-12,47.55E-12,43.49E-12,41.07E-12,39.59E-12,38.67E-12
560.0E-9,56.39E-12,48.57E-12,44.21E-12,41.59E-12,39.96E-12,38.92E-12
600.0E-9,57.91E-12,49.63E-12,44.98E-12,42.17E-12,40.39E-12,39.23E-12
