pw ,diode_B_r_O_r nw 8e-08 ,diode_B_r_O_r nw 1.2e-07 ,diode_B_r_O_r nw 1.6e-07 ,diode_B_r_O_r nw 2e-07 ,diode_B_r_O_r nw 2.4e-07 ,diode_B_r_O_r nw 2.8e-07 
160.0E-9,35.71E-12,32.78E-12,31.15E-12,30.20E-12,29.64E-12,29.32E-12
200.0E-9,34.66E-12,31.40E-12,29.55E-12,28.44E-12,27.76E-12,27.33E-12
240.0E-9,34.33E-12,30.77E-12,28.73E-12,27.47E-12,26.68E-12,26.16E-12
280.0E-9,34.41E-12,30.57E-12,28.34E-12,26.95E-12,26.06E-12,25.46E-12
320.0E-9,34.75E-12,30.63E-12,28.23E-12,26.72E-12,25.73E-12,25.06E-12
360.0E-9,35.27E-12,30.87E-12,28.29E-12,26.68E-12,25.60E-12,24.86E-12
400.0E-9,35.89E-12,31.23E-12,28.49E-12,26.76E-12,25.60E-12,24.80E-12
440.0E-9,36.60E-12,31.68E-12,28.78E-12,26.94E-12,25.70E-12,24.84E-12
480.0E-9,37.37E-12,32.19E-12,29.14E-12,27.19E-12,25.87E-12,24.95E-12
520.0E-9,38.18E-12,32.76E-12,29.55E-12,27.50E-12,26.10E-12,25.12E-12
560.0E-9,39.02E-12,33.35E-12,30.00E-12,27.84E-12,26.38E-12,25.33E-12
600.0E-9,39.89E-12,33.98E-12,30.48E-12,28.22E-12,26.68E-12,25.58E-12
