pw ,diode_B_f_O_f nw 8e-08 ,diode_B_f_O_f nw 1.2e-07 ,diode_B_f_O_f nw 1.6e-07 ,diode_B_f_O_f nw 2e-07 ,diode_B_f_O_f nw 2.4e-07 ,diode_B_f_O_f nw 2.8e-07 
160.0E-9,56.19E-12,56.43E-12,57.72E-12,59.55E-12,61.65E-12,63.91E-12
200.0E-9,51.30E-12,51.03E-12,51.86E-12,53.24E-12,54.90E-12,56.72E-12
240.0E-9,48.12E-12,47.44E-12,47.93E-12,48.97E-12,50.31E-12,51.82E-12
280.0E-9,45.91E-12,44.93E-12,45.14E-12,45.93E-12,47.02E-12,48.29E-12
320.0E-9,44.34E-12,43.10E-12,43.09E-12,43.67E-12,44.56E-12,45.65E-12
360.0E-9,43.20E-12,41.74E-12,41.54E-12,41.95E-12,42.69E-12,43.62E-12
400.0E-9,42.35E-12,40.71E-12,40.35E-12,40.62E-12,41.23E-12,42.03E-12
440.0E-9,41.73E-12,39.92E-12,39.44E-12,39.58E-12,40.07E-12,40.76E-12
480.0E-9,41.28E-12,39.32E-12,38.71E-12,38.75E-12,39.14E-12,39.74E-12
520.0E-9,40.95E-12,38.85E-12,38.14E-12,38.08E-12,38.38E-12,38.90E-12
560.0E-9,40.73E-12,38.51E-12,37.69E-12,37.55E-12,37.77E-12,38.22E-12
600.0E-9,40.59E-12,38.25E-12,37.34E-12,37.12E-12,37.27E-12,37.66E-12
