pw ,diode_A_f_O_f nw 8e-08 ,diode_A_f_O_f nw 1.2e-07 ,diode_A_f_O_f nw 1.6e-07 ,diode_A_f_O_f nw 2e-07 ,diode_A_f_O_f nw 2.4e-07 ,diode_A_f_O_f nw 2.8e-07 
160.0E-9,57.46E-12,58.41E-12,60.31E-12,62.66E-12,65.27E-12,68.01E-12
200.0E-9,52.28E-12,52.63E-12,54.01E-12,55.86E-12,57.97E-12,60.21E-12
240.0E-9,48.88E-12,48.79E-12,49.77E-12,51.26E-12,53.00E-12,54.89E-12
280.0E-9,46.54E-12,46.09E-12,46.76E-12,47.96E-12,49.43E-12,51.05E-12
320.0E-9,44.86E-12,44.12E-12,44.54E-12,45.51E-12,46.76E-12,48.17E-12
360.0E-9,43.64E-12,42.65E-12,42.86E-12,43.65E-12,44.72E-12,45.96E-12
400.0E-9,42.74E-12,41.54E-12,41.57E-12,42.19E-12,43.12E-12,44.21E-12
440.0E-9,42.07E-12,40.68E-12,40.56E-12,41.04E-12,41.84E-12,42.82E-12
480.0E-9,41.58E-12,40.02E-12,39.76E-12,40.12E-12,40.81E-12,41.68E-12
520.0E-9,41.23E-12,39.51E-12,39.13E-12,39.39E-12,39.97E-12,40.76E-12
560.0E-9,40.98E-12,39.12E-12,38.63E-12,38.79E-12,39.29E-12,39.99E-12
600.0E-9,40.81E-12,38.82E-12,38.23E-12,38.30E-12,38.72E-12,39.35E-12
