pw ,static_B_delay_avg nw 8e-08 ,static_B_delay_avg nw 1.2e-07 ,static_B_delay_avg nw 1.6e-07 ,static_B_delay_avg nw 2e-07 ,static_B_delay_avg nw 2.4e-07 ,static_B_delay_avg nw 2.8e-07 
160.0E-9,50.09E-12,48.17E-12,47.72E-12,48.02E-12,48.74E-12,49.70E-12
200.0E-9,49.36E-12,46.66E-12,45.66E-12,45.50E-12,45.82E-12,46.42E-12
240.0E-9,49.45E-12,46.07E-12,44.59E-12,44.06E-12,44.07E-12,44.40E-12
280.0E-9,50.00E-12,46.02E-12,44.12E-12,43.28E-12,43.02E-12,43.12E-12
320.0E-9,50.86E-12,46.30E-12,44.03E-12,42.91E-12,42.42E-12,42.33E-12
360.0E-9,51.93E-12,46.83E-12,44.20E-12,42.82E-12,42.13E-12,41.87E-12
400.0E-9,53.14E-12,47.51E-12,44.55E-12,42.93E-12,42.06E-12,41.64E-12
440.0E-9,54.45E-12,48.32E-12,45.04E-12,43.19E-12,42.14E-12,41.58E-12
480.0E-9,55.83E-12,49.22E-12,45.63E-12,43.56E-12,42.35E-12,41.65E-12
520.0E-9,57.27E-12,50.19E-12,46.30E-12,44.02E-12,42.65E-12,41.83E-12
560.0E-9,58.76E-12,51.20E-12,47.03E-12,44.55E-12,43.03E-12,42.08E-12
600.0E-9,60.28E-12,52.26E-12,47.80E-12,45.13E-12,43.46E-12,42.40E-12
