pw ,diode_delay_avg nw 8e-08 ,diode_delay_avg nw 1.2e-07 ,diode_delay_avg nw 1.6e-07 ,diode_delay_avg nw 2e-07 ,diode_delay_avg nw 2.4e-07 ,diode_delay_avg nw 2.8e-07 
160.0E-9,44.77E-12,43.45E-12,43.26E-12,43.66E-12,44.38E-12,45.29E-12
200.0E-9,41.78E-12,40.06E-12,39.55E-12,39.66E-12,40.11E-12,40.77E-12
240.0E-9,39.98E-12,37.93E-12,37.17E-12,37.06E-12,37.30E-12,37.77E-12
280.0E-9,38.87E-12,36.54E-12,35.57E-12,35.27E-12,35.36E-12,35.67E-12
320.0E-9,38.21E-12,35.63E-12,34.46E-12,34.02E-12,33.97E-12,34.16E-12
360.0E-9,37.84E-12,35.03E-12,33.70E-12,33.12E-12,32.96E-12,33.05E-12
400.0E-9,37.68E-12,34.66E-12,33.18E-12,32.48E-12,32.21E-12,32.21E-12
440.0E-9,37.67E-12,34.46E-12,32.84E-12,32.03E-12,31.67E-12,31.59E-12
480.0E-9,37.78E-12,34.37E-12,32.63E-12,31.72E-12,31.28E-12,31.12E-12
520.0E-9,37.97E-12,34.38E-12,32.52E-12,31.51E-12,31.00E-12,30.78E-12
560.0E-9,38.23E-12,34.47E-12,32.49E-12,31.40E-12,30.81E-12,30.53E-12
600.0E-9,38.54E-12,34.62E-12,32.52E-12,31.35E-12,30.69E-12,30.36E-12
