pw ,diode_A_r_O_r nw 8e-08 ,diode_A_r_O_r nw 1.2e-07 ,diode_A_r_O_r nw 1.6e-07 ,diode_A_r_O_r nw 2e-07 ,diode_A_r_O_r nw 2.4e-07 ,diode_A_r_O_r nw 2.8e-07 
160.0E-9,34.90E-12,32.21E-12,30.71E-12,29.84E-12,29.34E-12,29.06E-12
200.0E-9,33.65E-12,30.67E-12,28.97E-12,27.96E-12,27.35E-12,26.97E-12
240.0E-9,33.12E-12,29.87E-12,28.01E-12,26.87E-12,26.16E-12,25.70E-12
280.0E-9,33.00E-12,29.51E-12,27.48E-12,26.23E-12,25.43E-12,24.90E-12
320.0E-9,33.15E-12,29.42E-12,27.24E-12,25.88E-12,25.00E-12,24.41E-12
360.0E-9,33.47E-12,29.50E-12,27.18E-12,25.72E-12,24.76E-12,24.11E-12
400.0E-9,33.91E-12,29.72E-12,27.25E-12,25.70E-12,24.67E-12,23.96E-12
440.0E-9,34.43E-12,30.02E-12,27.42E-12,25.77E-12,24.67E-12,23.90E-12
480.0E-9,35.01E-12,30.39E-12,27.66E-12,25.92E-12,24.74E-12,23.93E-12
520.0E-9,35.64E-12,30.81E-12,27.94E-12,26.12E-12,24.88E-12,24.01E-12
560.0E-9,36.30E-12,31.26E-12,28.28E-12,26.36E-12,25.06E-12,24.14E-12
600.0E-9,36.99E-12,31.75E-12,28.64E-12,26.64E-12,25.28E-12,24.31E-12
