pw ,static_delay_avg nw 8e-08 ,static_delay_avg nw 1.2e-07 ,static_delay_avg nw 1.6e-07 ,static_delay_avg nw 2e-07 ,static_delay_avg nw 2.4e-07 ,static_delay_avg nw 2.8e-07 
160.0E-9,49.78E-12,47.88E-12,47.47E-12,47.81E-12,48.56E-12,49.56E-12
200.0E-9,49.02E-12,46.33E-12,45.34E-12,45.21E-12,45.55E-12,46.18E-12
240.0E-9,49.08E-12,45.70E-12,44.23E-12,43.71E-12,43.74E-12,44.08E-12
280.0E-9,49.63E-12,45.62E-12,43.72E-12,42.89E-12,42.64E-12,42.75E-12
320.0E-9,50.48E-12,45.90E-12,43.61E-12,42.48E-12,42.00E-12,41.92E-12
360.0E-9,51.54E-12,46.41E-12,43.76E-12,42.37E-12,41.68E-12,41.42E-12
400.0E-9,52.74E-12,47.08E-12,44.10E-12,42.47E-12,41.58E-12,41.16E-12
440.0E-9,54.05E-12,47.88E-12,44.58E-12,42.71E-12,41.65E-12,41.08E-12
480.0E-9,55.43E-12,48.78E-12,45.16E-12,43.07E-12,41.84E-12,41.14E-12
520.0E-9,56.87E-12,49.74E-12,45.82E-12,43.52E-12,42.13E-12,41.30E-12
560.0E-9,58.36E-12,50.75E-12,46.54E-12,44.04E-12,42.50E-12,41.55E-12
600.0E-9,59.88E-12,51.81E-12,47.31E-12,44.61E-12,42.93E-12,41.85E-12
