pw ,static_A_delay_avg nw 8e-08 ,static_A_delay_avg nw 1.2e-07 ,static_A_delay_avg nw 1.6e-07 ,static_A_delay_avg nw 2e-07 ,static_A_delay_avg nw 2.4e-07 ,static_A_delay_avg nw 2.8e-07 
160.0E-9,51.76E-12,50.11E-12,49.90E-12,50.41E-12,51.32E-12,52.47E-12
200.0E-9,50.87E-12,48.40E-12,47.59E-12,47.61E-12,48.09E-12,48.84E-12
240.0E-9,50.84E-12,47.66E-12,46.35E-12,45.98E-12,46.12E-12,46.58E-12
280.0E-9,51.33E-12,47.51E-12,45.76E-12,45.05E-12,44.92E-12,45.13E-12
320.0E-9,52.14E-12,47.73E-12,45.59E-12,44.58E-12,44.20E-12,44.21E-12
360.0E-9,53.16E-12,48.21E-12,45.69E-12,44.42E-12,43.82E-12,43.65E-12
400.0E-9,54.35E-12,48.86E-12,46.00E-12,44.47E-12,43.69E-12,43.35E-12
440.0E-9,55.64E-12,49.64E-12,46.46E-12,44.69E-12,43.72E-12,43.23E-12
480.0E-9,57.01E-12,50.52E-12,47.02E-12,45.03E-12,43.89E-12,43.26E-12
520.0E-9,58.45E-12,51.47E-12,47.67E-12,45.47E-12,44.16E-12,43.40E-12
560.0E-9,59.94E-12,52.48E-12,48.39E-12,45.98E-12,44.51E-12,43.63E-12
600.0E-9,61.46E-12,53.54E-12,49.16E-12,46.55E-12,44.93E-12,43.93E-12
