pw ,INV_delay_diff nw 8e-08 ,INV_delay_diff nw 1.2e-07 ,INV_delay_diff nw 1.6e-07 ,INV_delay_diff nw 2e-07 ,INV_delay_diff nw 2.4e-07 ,INV_delay_diff nw 2.8e-07 
160.0E-9,-20.95E-12,-28.47E-12,-34.09E-12,-38.68E-12,-42.75E-12,-46.30E-12
200.0E-9,-8.453E-12,-15.73E-12,-21.01E-12,-25.22E-12,-28.75E-12,-31.86E-12
240.0E-9,164.3E-15,-7.185E-12,-12.27E-12,-16.22E-12,-19.50E-12,-22.34E-12
280.0E-9,6.591E-12,-829.7E-15,-5.822E-12,-9.668E-12,-12.74E-12,-15.47E-12
320.0E-9,11.78E-12,4.215E-12,-869.4E-15,-4.627E-12,-7.687E-12,-10.30E-12
360.0E-9,16.18E-12,8.399E-12,3.229E-12,-556.6E-15,-3.602E-12,-6.126E-12
400.0E-9,20.03E-12,12.01E-12,6.751E-12,2.889E-12,-129.7E-15,-2.628E-12
440.0E-9,23.48E-12,15.20E-12,9.834E-12,5.924E-12,2.888E-12,387.0E-15
480.0E-9,26.63E-12,18.10E-12,12.56E-12,8.617E-12,5.555E-12,3.009E-12
520.0E-9,29.60E-12,20.79E-12,15.12E-12,11.06E-12,7.936E-12,5.441E-12
560.0E-9,32.42E-12,23.33E-12,17.49E-12,13.34E-12,10.14E-12,7.613E-12
600.0E-9,35.11E-12,25.73E-12,19.72E-12,15.46E-12,12.21E-12,9.630E-12
