pw ,INV_delay_avg nw 8e-08 ,INV_delay_avg nw 1.2e-07 ,INV_delay_avg nw 1.6e-07 ,INV_delay_avg nw 2e-07 ,INV_delay_avg nw 2.4e-07 ,INV_delay_avg nw 2.8e-07 
160.0E-9,62.49E-12,61.82E-12,62.18E-12,63.04E-12,64.22E-12,65.50E-12
200.0E-9,58.89E-12,57.72E-12,57.67E-12,58.15E-12,58.93E-12,59.91E-12
240.0E-9,57.17E-12,55.67E-12,55.29E-12,55.47E-12,56.01E-12,56.75E-12
280.0E-9,56.52E-12,54.69E-12,54.03E-12,54.00E-12,54.31E-12,54.89E-12
320.0E-9,56.46E-12,54.35E-12,53.49E-12,53.26E-12,53.45E-12,53.88E-12
360.0E-9,56.78E-12,54.43E-12,53.37E-12,53.00E-12,53.06E-12,53.36E-12
400.0E-9,57.37E-12,54.75E-12,53.54E-12,53.05E-12,52.98E-12,53.17E-12
440.0E-9,58.13E-12,55.30E-12,53.92E-12,53.30E-12,53.12E-12,53.23E-12
480.0E-9,59.02E-12,55.98E-12,54.47E-12,53.72E-12,53.45E-12,53.48E-12
520.0E-9,60.01E-12,56.76E-12,55.10E-12,54.24E-12,53.89E-12,53.81E-12
560.0E-9,61.06E-12,57.62E-12,55.81E-12,54.86E-12,54.42E-12,54.27E-12
600.0E-9,62.17E-12,58.53E-12,56.59E-12,55.54E-12,55.01E-12,54.80E-12
