pw ,INV_in_f_out_r_delay nw 8e-08 ,INV_in_f_out_r_delay nw 1.2e-07 ,INV_in_f_out_r_delay nw 1.6e-07 ,INV_in_f_out_r_delay nw 2e-07 ,INV_in_f_out_r_delay nw 2.4e-07 ,INV_in_f_out_r_delay nw 2.8e-07 
160.0E-9,72.96E-12,76.06E-12,79.22E-12,82.38E-12,85.59E-12,88.65E-12
200.0E-9,63.11E-12,65.59E-12,68.17E-12,70.76E-12,73.31E-12,75.84E-12
240.0E-9,57.09E-12,59.26E-12,61.42E-12,63.58E-12,65.76E-12,67.92E-12
280.0E-9,53.22E-12,55.10E-12,56.94E-12,58.83E-12,60.68E-12,62.63E-12
320.0E-9,50.57E-12,52.25E-12,53.92E-12,55.57E-12,57.30E-12,59.03E-12
360.0E-9,48.69E-12,50.23E-12,51.76E-12,53.28E-12,54.86E-12,56.42E-12
400.0E-9,47.35E-12,48.75E-12,50.16E-12,51.60E-12,53.04E-12,54.49E-12
440.0E-9,46.40E-12,47.70E-12,49.00E-12,50.34E-12,51.67E-12,53.04E-12
480.0E-9,45.71E-12,46.93E-12,48.19E-12,49.41E-12,50.67E-12,51.97E-12
520.0E-9,45.21E-12,46.36E-12,47.54E-12,48.71E-12,49.92E-12,51.09E-12
560.0E-9,44.85E-12,45.96E-12,47.07E-12,48.19E-12,49.35E-12,50.47E-12
600.0E-9,44.61E-12,45.67E-12,46.73E-12,47.81E-12,48.90E-12,49.99E-12
