pw ,static_B_r_O_r nw 8e-08 ,static_B_r_O_r nw 1.2e-07 ,static_B_r_O_r nw 1.6e-07 ,static_B_r_O_r nw 2e-07 ,static_B_r_O_r nw 2.4e-07 ,static_B_r_O_r nw 2.8e-07 
160.0E-9,323.2E-12,324.9E-12,325.0E-12,325.4E-12,325.2E-12,324.5E-12
200.0E-9,323.1E-12,321.9E-12,320.1E-12,319.6E-12,319.9E-12,320.1E-12
240.0E-9,327.5E-12,323.6E-12,319.5E-12,317.6E-12,317.3E-12,317.7E-12
280.0E-9,335.1E-12,328.5E-12,322.2E-12,318.5E-12,317.1E-12,317.0E-12
320.0E-9,344.7E-12,335.6E-12,327.0E-12,321.6E-12,318.9E-12,318.1E-12
360.0E-9,355.7E-12,344.1E-12,333.4E-12,326.3E-12,322.3E-12,320.6E-12
400.0E-9,367.9E-12,353.8E-12,340.9E-12,332.2E-12,327.0E-12,324.2E-12
440.0E-9,380.8E-12,364.3E-12,349.4E-12,339.1E-12,332.6E-12,328.8E-12
480.0E-9,394.4E-12,375.5E-12,358.6E-12,346.7E-12,338.9E-12,334.1E-12
520.0E-9,408.5E-12,387.3E-12,368.3E-12,354.9E-12,345.8E-12,340.0E-12
560.0E-9,423.0E-12,399.5E-12,378.5E-12,363.5E-12,353.3E-12,346.4E-12
600.0E-9,437.8E-12,412.0E-12,389.1E-12,372.5E-12,361.0E-12,353.3E-12
