pw ,diode_C_r_O_r nw 8e-08 ,diode_C_r_O_r nw 1.2e-07 ,diode_C_r_O_r nw 1.6e-07 ,diode_C_r_O_r nw 2e-07 ,diode_C_r_O_r nw 2.4e-07 ,diode_C_r_O_r nw 2.8e-07 
160.0E-9,257.8E-12,257.6E-12,255.7E-12,254.0E-12,252.4E-12,250.9E-12
200.0E-9,249.1E-12,248.4E-12,246.4E-12,245.0E-12,244.0E-12,243.2E-12
240.0E-9,244.7E-12,243.2E-12,240.7E-12,239.1E-12,238.3E-12,237.9E-12
280.0E-9,243.2E-12,240.9E-12,237.7E-12,235.6E-12,234.6E-12,234.3E-12
320.0E-9,243.8E-12,240.6E-12,236.6E-12,234.0E-12,232.6E-12,232.1E-12
360.0E-9,245.8E-12,241.8E-12,237.0E-12,233.8E-12,232.0E-12,231.2E-12
400.0E-9,248.8E-12,244.0E-12,238.5E-12,234.7E-12,232.5E-12,231.3E-12
440.0E-9,252.7E-12,247.0E-12,240.8E-12,236.5E-12,233.7E-12,232.2E-12
480.0E-9,257.1E-12,250.7E-12,243.8E-12,238.8E-12,235.7E-12,233.8E-12
520.0E-9,262.0E-12,254.8E-12,247.2E-12,241.7E-12,238.1E-12,235.9E-12
560.0E-9,267.3E-12,259.3E-12,251.0E-12,245.0E-12,241.0E-12,238.4E-12
600.0E-9,272.7E-12,264.1E-12,255.2E-12,248.6E-12,244.2E-12,241.2E-12
