pw ,static_A_f_O_f nw 8e-08 ,static_A_f_O_f nw 1.2e-07 ,static_A_f_O_f nw 1.6e-07 ,static_A_f_O_f nw 2e-07 ,static_A_f_O_f nw 2.4e-07 ,static_A_f_O_f nw 2.8e-07 
160.0E-9,579.1E-12,622.2E-12,662.5E-12,702.5E-12,742.4E-12,782.3E-12
200.0E-9,555.2E-12,590.6E-12,623.9E-12,657.1E-12,690.6E-12,724.1E-12
240.0E-9,538.2E-12,567.7E-12,595.6E-12,623.8E-12,652.4E-12,681.2E-12
280.0E-9,525.9E-12,550.9E-12,574.5E-12,598.7E-12,623.5E-12,648.7E-12
320.0E-9,517.0E-12,538.2E-12,558.4E-12,579.4E-12,601.1E-12,623.3E-12
360.0E-9,510.5E-12,528.6E-12,546.0E-12,564.2E-12,583.4E-12,603.2E-12
400.0E-9,505.9E-12,521.3E-12,536.2E-12,552.3E-12,569.3E-12,587.0E-12
440.0E-9,502.6E-12,515.7E-12,528.6E-12,542.7E-12,557.9E-12,573.8E-12
480.0E-9,500.5E-12,511.6E-12,522.5E-12,535.0E-12,548.6E-12,563.0E-12
520.0E-9,499.2E-12,508.5E-12,517.8E-12,528.8E-12,541.0E-12,554.1E-12
560.0E-9,498.6E-12,506.3E-12,514.2E-12,523.8E-12,534.7E-12,546.7E-12
600.0E-9,498.6E-12,504.8E-12,511.4E-12,519.8E-12,529.6E-12,540.5E-12
