pw ,static_power_avg nw 8e-08 ,static_power_avg nw 1.2e-07 ,static_power_avg nw 1.6e-07 ,static_power_avg nw 2e-07 ,static_power_avg nw 2.4e-07 ,static_power_avg nw 2.8e-07 
160.0E-9,286.9E-9,304.5E-9,321.1E-9,335.9E-9,347.8E-9,356.7E-9
200.0E-9,309.5E-9,327.3E-9,344.5E-9,360.9E-9,375.8E-9,388.5E-9
240.0E-9,331.9E-9,349.8E-9,367.2E-9,384.1E-9,400.4E-9,415.5E-9
280.0E-9,354.4E-9,372.2E-9,389.6E-9,406.8E-9,423.5E-9,439.7E-9
320.0E-9,376.8E-9,394.6E-9,412.0E-9,429.1E-9,446.1E-9,462.7E-9
360.0E-9,399.1E-9,416.9E-9,434.3E-9,451.4E-9,468.5E-9,485.3E-9
400.0E-9,421.5E-9,439.2E-9,456.6E-9,473.7E-9,490.7E-9,507.6E-9
440.0E-9,443.9E-9,461.6E-9,478.8E-9,495.9E-9,512.9E-9,529.8E-9
480.0E-9,466.4E-9,483.9E-9,501.1E-9,518.1E-9,535.1E-9,552.0E-9
520.0E-9,488.7E-9,506.3E-9,523.4E-9,540.3E-9,557.2E-9,574.1E-9
560.0E-9,511.1E-9,528.7E-9,545.7E-9,562.6E-9,579.4E-9,596.2E-9
600.0E-9,533.5E-9,551.1E-9,568.0E-9,584.8E-9,601.6E-9,618.3E-9
