pw ,diode_B_delay_avg nw 8e-08 ,diode_B_delay_avg nw 1.2e-07 ,diode_B_delay_avg nw 1.6e-07 ,diode_B_delay_avg nw 2e-07 ,diode_B_delay_avg nw 2.4e-07 ,diode_B_delay_avg nw 2.8e-07 
160.0E-9,406.5E-12,425.5E-12,442.3E-12,459.0E-12,475.9E-12,492.8E-12
200.0E-9,380.1E-12,395.7E-12,409.7E-12,424.0E-12,438.5E-12,453.0E-12
240.0E-9,361.7E-12,374.5E-12,386.1E-12,398.3E-12,410.9E-12,423.8E-12
280.0E-9,348.8E-12,359.2E-12,368.6E-12,379.0E-12,390.0E-12,401.5E-12
320.0E-9,339.7E-12,348.0E-12,355.6E-12,364.3E-12,373.9E-12,384.1E-12
360.0E-9,333.3E-12,339.8E-12,345.8E-12,353.1E-12,361.4E-12,370.4E-12
400.0E-9,328.9E-12,333.8E-12,338.4E-12,344.4E-12,351.6E-12,359.6E-12
440.0E-9,326.0E-12,329.5E-12,332.9E-12,337.8E-12,344.0E-12,351.0E-12
480.0E-9,324.3E-12,326.6E-12,328.8E-12,332.7E-12,337.9E-12,344.2E-12
520.0E-9,323.6E-12,324.7E-12,325.9E-12,328.8E-12,333.2E-12,338.7E-12
560.0E-9,323.5E-12,323.6E-12,323.8E-12,325.9E-12,329.6E-12,334.4E-12
600.0E-9,324.2E-12,323.2E-12,322.6E-12,323.9E-12,326.8E-12,331.0E-12
