pw ,diode_power_avg nw 8e-08 ,diode_power_avg nw 1.2e-07 ,diode_power_avg nw 1.6e-07 ,diode_power_avg nw 2e-07 ,diode_power_avg nw 2.4e-07 ,diode_power_avg nw 2.8e-07 
160.0E-9,238.9E-9,250.5E-9,260.6E-9,269.2E-9,276.5E-9,282.7E-9
200.0E-9,248.7E-9,261.4E-9,273.1E-9,283.7E-9,293.0E-9,301.0E-9
240.0E-9,258.0E-9,271.0E-9,283.5E-9,295.4E-9,306.3E-9,316.1E-9
280.0E-9,267.1E-9,280.3E-9,293.1E-9,305.5E-9,317.4E-9,328.5E-9
320.0E-9,276.1E-9,289.4E-9,302.3E-9,315.0E-9,327.3E-9,339.2E-9
360.0E-9,285.0E-9,298.3E-9,311.4E-9,324.2E-9,336.8E-9,349.1E-9
400.0E-9,294.0E-9,307.3E-9,320.3E-9,333.2E-9,345.9E-9,358.4E-9
440.0E-9,302.9E-9,316.2E-9,329.2E-9,342.2E-9,355.0E-9,367.6E-9
480.0E-9,311.8E-9,325.1E-9,338.1E-9,351.0E-9,363.9E-9,376.6E-9
520.0E-9,320.7E-9,334.0E-9,347.0E-9,359.9E-9,372.7E-9,385.4E-9
560.0E-9,329.6E-9,342.8E-9,355.8E-9,368.7E-9,381.5E-9,394.2E-9
600.0E-9,338.5E-9,351.7E-9,364.6E-9,377.5E-9,390.3E-9,403.0E-9
