pw ,static_A_r_O_r nw 8e-08 ,static_A_r_O_r nw 1.2e-07 ,static_A_r_O_r nw 1.6e-07 ,static_A_r_O_r nw 2e-07 ,static_A_r_O_r nw 2.4e-07 ,static_A_r_O_r nw 2.8e-07 
160.0E-9,321.1E-12,322.8E-12,323.5E-12,324.9E-12,326.8E-12,329.0E-12
200.0E-9,320.4E-12,319.2E-12,317.6E-12,317.6E-12,318.8E-12,320.6E-12
240.0E-9,324.5E-12,320.5E-12,316.5E-12,314.7E-12,314.8E-12,316.1E-12
280.0E-9,331.7E-12,324.9E-12,318.5E-12,315.0E-12,313.8E-12,314.3E-12
320.0E-9,340.9E-12,331.5E-12,322.9E-12,317.5E-12,315.1E-12,314.6E-12
360.0E-9,351.7E-12,339.7E-12,328.8E-12,321.8E-12,318.0E-12,316.5E-12
400.0E-9,363.5E-12,349.0E-12,336.1E-12,327.3E-12,322.1E-12,319.6E-12
440.0E-9,376.2E-12,359.3E-12,344.1E-12,333.7E-12,327.4E-12,323.6E-12
480.0E-9,389.7E-12,370.1E-12,352.9E-12,340.9E-12,333.2E-12,328.6E-12
520.0E-9,403.6E-12,381.6E-12,362.3E-12,348.7E-12,339.7E-12,334.1E-12
560.0E-9,417.8E-12,393.5E-12,372.2E-12,357.0E-12,346.8E-12,340.1E-12
600.0E-9,432.5E-12,405.9E-12,382.4E-12,365.7E-12,354.2E-12,346.5E-12
