pw ,static_B_f_O_f nw 8e-08 ,static_B_f_O_f nw 1.2e-07 ,static_B_f_O_f nw 1.6e-07 ,static_B_f_O_f nw 2e-07 ,static_B_f_O_f nw 2.4e-07 ,static_B_f_O_f nw 2.8e-07 
160.0E-9,552.1E-12,589.2E-12,623.9E-12,658.5E-12,693.2E-12,727.9E-12
200.0E-9,530.6E-12,560.9E-12,589.3E-12,617.9E-12,646.9E-12,676.1E-12
240.0E-9,515.3E-12,540.4E-12,564.0E-12,588.1E-12,612.7E-12,637.8E-12
280.0E-9,504.3E-12,525.2E-12,545.0E-12,565.6E-12,586.8E-12,608.6E-12
320.0E-9,496.2E-12,513.8E-12,530.5E-12,548.2E-12,566.7E-12,585.9E-12
360.0E-9,490.4E-12,505.1E-12,519.3E-12,534.6E-12,550.9E-12,567.8E-12
400.0E-9,486.2E-12,498.5E-12,510.5E-12,523.8E-12,538.2E-12,553.3E-12
440.0E-9,483.2E-12,493.4E-12,503.6E-12,515.2E-12,527.9E-12,541.5E-12
480.0E-9,481.3E-12,489.7E-12,498.2E-12,508.2E-12,519.5E-12,531.8E-12
520.0E-9,480.1E-12,486.9E-12,493.9E-12,502.6E-12,512.7E-12,523.7E-12
560.0E-9,479.5E-12,484.9E-12,490.6E-12,498.1E-12,507.1E-12,517.1E-12
600.0E-9,479.6E-12,483.5E-12,488.1E-12,494.5E-12,502.4E-12,511.5E-12
