pw ,static_C_r_O_r nw 8e-08 ,static_C_r_O_r nw 1.2e-07 ,static_C_r_O_r nw 1.6e-07 ,static_C_r_O_r nw 2e-07 ,static_C_r_O_r nw 2.4e-07 ,static_C_r_O_r nw 2.8e-07 
160.0E-9,326.4E-12,327.0E-12,326.4E-12,326.6E-12,326.9E-12,326.6E-12
200.0E-9,327.3E-12,325.0E-12,321.9E-12,320.7E-12,320.7E-12,321.2E-12
240.0E-9,332.9E-12,327.6E-12,322.3E-12,319.2E-12,318.1E-12,318.2E-12
280.0E-9,341.4E-12,333.5E-12,325.8E-12,320.9E-12,318.5E-12,317.7E-12
320.0E-9,351.9E-12,341.5E-12,331.5E-12,324.9E-12,321.1E-12,319.3E-12
360.0E-9,363.9E-12,350.9E-12,338.8E-12,330.5E-12,325.3E-12,322.5E-12
400.0E-9,376.9E-12,361.5E-12,347.2E-12,337.3E-12,330.9E-12,327.0E-12
440.0E-9,390.6E-12,372.9E-12,356.6E-12,345.0E-12,337.3E-12,332.4E-12
480.0E-9,405.1E-12,384.9E-12,366.6E-12,353.4E-12,344.5E-12,338.6E-12
520.0E-9,419.9E-12,397.5E-12,377.2E-12,362.5E-12,352.2E-12,345.4E-12
560.0E-9,435.1E-12,410.5E-12,388.2E-12,372.0E-12,360.6E-12,352.7E-12
600.0E-9,450.7E-12,423.7E-12,399.6E-12,381.8E-12,369.3E-12,360.4E-12
