pw ,static_C_f_O_f nw 8e-08 ,static_C_f_O_f nw 1.2e-07 ,static_C_f_O_f nw 1.6e-07 ,static_C_f_O_f nw 2e-07 ,static_C_f_O_f nw 2.4e-07 ,static_C_f_O_f nw 2.8e-07 
160.0E-9,511.5E-12,547.8E-12,581.8E-12,615.7E-12,649.7E-12,683.9E-12
200.0E-9,489.4E-12,518.9E-12,546.6E-12,574.6E-12,602.9E-12,631.5E-12
240.0E-9,473.6E-12,497.9E-12,520.8E-12,544.3E-12,568.3E-12,592.8E-12
280.0E-9,462.0E-12,482.2E-12,501.4E-12,521.4E-12,542.0E-12,563.2E-12
320.0E-9,453.5E-12,470.4E-12,486.5E-12,503.6E-12,521.6E-12,540.2E-12
360.0E-9,447.2E-12,461.3E-12,474.9E-12,489.6E-12,505.4E-12,521.8E-12
400.0E-9,442.5E-12,454.3E-12,465.7E-12,478.5E-12,492.3E-12,507.0E-12
440.0E-9,439.2E-12,448.9E-12,458.5E-12,469.5E-12,481.8E-12,494.9E-12
480.0E-9,436.8E-12,444.7E-12,452.7E-12,462.3E-12,473.1E-12,484.9E-12
520.0E-9,435.3E-12,441.6E-12,448.1E-12,456.4E-12,466.0E-12,476.6E-12
560.0E-9,434.4E-12,439.3E-12,444.5E-12,451.6E-12,460.1E-12,469.7E-12
600.0E-9,434.1E-12,437.6E-12,441.7E-12,447.7E-12,455.3E-12,463.9E-12
