pw ,diode_C_f_O_f nw 8e-08 ,diode_C_f_O_f nw 1.2e-07 ,diode_C_f_O_f nw 1.6e-07 ,diode_C_f_O_f nw 2e-07 ,diode_C_f_O_f nw 2.4e-07 ,diode_C_f_O_f nw 2.8e-07 
160.0E-9,497.8E-12,528.3E-12,556.5E-12,584.4E-12,612.5E-12,640.6E-12
200.0E-9,456.6E-12,481.7E-12,505.0E-12,528.5E-12,552.1E-12,575.9E-12
240.0E-9,426.5E-12,447.4E-12,467.0E-12,487.0E-12,507.3E-12,527.9E-12
280.0E-9,403.6E-12,421.3E-12,438.0E-12,455.3E-12,473.0E-12,491.0E-12
320.0E-9,385.9E-12,400.9E-12,415.3E-12,430.3E-12,445.9E-12,461.9E-12
360.0E-9,371.8E-12,384.7E-12,397.2E-12,410.3E-12,424.2E-12,438.4E-12
400.0E-9,360.5E-12,371.6E-12,382.4E-12,394.0E-12,406.4E-12,419.3E-12
440.0E-9,351.3E-12,360.8E-12,370.2E-12,380.6E-12,391.7E-12,403.3E-12
480.0E-9,343.7E-12,351.9E-12,360.0E-12,369.2E-12,379.3E-12,389.9E-12
520.0E-9,337.4E-12,344.4E-12,351.5E-12,359.7E-12,368.8E-12,378.5E-12
560.0E-9,332.2E-12,338.1E-12,344.2E-12,351.6E-12,359.8E-12,368.7E-12
600.0E-9,327.8E-12,332.8E-12,338.1E-12,344.6E-12,352.1E-12,360.3E-12
