pw ,diode_C_delay_avg nw 8e-08 ,diode_C_delay_avg nw 1.2e-07 ,diode_C_delay_avg nw 1.6e-07 ,diode_C_delay_avg nw 2e-07 ,diode_C_delay_avg nw 2.4e-07 ,diode_C_delay_avg nw 2.8e-07 
160.0E-9,377.8E-12,392.9E-12,406.1E-12,419.2E-12,432.4E-12,445.8E-12
200.0E-9,352.9E-12,365.1E-12,375.7E-12,386.7E-12,398.1E-12,409.6E-12
240.0E-9,335.6E-12,345.3E-12,353.9E-12,363.1E-12,372.8E-12,382.9E-12
280.0E-9,323.4E-12,331.1E-12,337.8E-12,345.4E-12,353.8E-12,362.6E-12
320.0E-9,314.8E-12,320.8E-12,326.0E-12,332.2E-12,339.2E-12,347.0E-12
360.0E-9,308.8E-12,313.2E-12,317.1E-12,322.1E-12,328.1E-12,334.8E-12
400.0E-9,304.7E-12,307.8E-12,310.4E-12,314.4E-12,319.4E-12,325.3E-12
440.0E-9,302.0E-12,303.9E-12,305.5E-12,308.5E-12,312.7E-12,317.8E-12
480.0E-9,300.4E-12,301.3E-12,301.9E-12,304.0E-12,307.5E-12,311.8E-12
520.0E-9,299.7E-12,299.6E-12,299.3E-12,300.7E-12,303.4E-12,307.2E-12
560.0E-9,299.7E-12,298.7E-12,297.6E-12,298.3E-12,300.4E-12,303.6E-12
600.0E-9,300.3E-12,298.4E-12,296.6E-12,296.6E-12,298.1E-12,300.8E-12
