pw ,diode_A_delay_avg nw 8e-08 ,diode_A_delay_avg nw 1.2e-07 ,diode_A_delay_avg nw 1.6e-07 ,diode_A_delay_avg nw 2e-07 ,diode_A_delay_avg nw 2.4e-07 ,diode_A_delay_avg nw 2.8e-07 
160.0E-9,413.1E-12,435.2E-12,455.3E-12,475.5E-12,495.9E-12,516.6E-12
200.0E-9,384.8E-12,403.0E-12,419.8E-12,436.8E-12,454.1E-12,471.6E-12
240.0E-9,365.0E-12,380.1E-12,394.1E-12,408.6E-12,423.6E-12,438.8E-12
280.0E-9,351.0E-12,363.4E-12,375.0E-12,387.4E-12,400.6E-12,414.1E-12
320.0E-9,340.9E-12,351.1E-12,360.7E-12,371.3E-12,382.8E-12,394.9E-12
360.0E-9,333.7E-12,342.0E-12,349.8E-12,358.9E-12,369.0E-12,379.8E-12
400.0E-9,328.6E-12,335.1E-12,341.5E-12,349.2E-12,358.0E-12,367.7E-12
440.0E-9,325.1E-12,330.2E-12,335.2E-12,341.7E-12,349.4E-12,358.0E-12
480.0E-9,322.8E-12,326.5E-12,330.4E-12,335.8E-12,342.5E-12,350.2E-12
520.0E-9,321.6E-12,324.1E-12,326.8E-12,331.2E-12,337.0E-12,343.9E-12
560.0E-9,321.0E-12,322.4E-12,324.2E-12,327.7E-12,332.7E-12,338.8E-12
600.0E-9,321.2E-12,321.5E-12,322.3E-12,325.0E-12,329.3E-12,334.7E-12
