VBBP_val ,INV_delay_diff VBBN_val 0 ,INV_delay_diff VBBN_val 0.45 ,INV_delay_diff VBBN_val 0.9 ,INV_delay_diff VBBN_val 1.35 ,INV_delay_diff VBBN_val 1.8 
-1.800,33.25E-12,22.70E-12,14.88E-12,8.461E-12,2.785E-12
-1.650,31.51E-12,20.99E-12,13.13E-12,6.695E-12,1.061E-12
-1.500,29.80E-12,19.20E-12,11.39E-12,4.973E-12,-694.0E-15
-1.350,28.07E-12,17.46E-12,9.589E-12,3.189E-12,-2.473E-12
-1.200,26.30E-12,15.61E-12,7.755E-12,1.355E-12,-4.298E-12
-1.050,24.48E-12,13.73E-12,5.839E-12,-545.2E-15,-6.203E-12
-900.0E-3,22.53E-12,11.74E-12,3.833E-12,-2.551E-12,-8.207E-12
-750.0E-3,20.46E-12,9.628E-12,1.690E-12,-4.667E-12,-10.33E-12
-600.0E-3,18.21E-12,7.350E-12,-575.2E-15,-6.939E-12,-12.56E-12
-450.0E-3,15.75E-12,4.882E-12,-3.064E-12,-9.413E-12,-14.99E-12
-300.0E-3,13.08E-12,2.167E-12,-5.753E-12,-12.09E-12,-17.65E-12
-150.0E-3,10.09E-12,-857.7E-15,-8.735E-12,-15.00E-12,-20.55E-12
0.000,6.751E-12,-4.201E-12,-12.05E-12,-18.32E-12,-23.78E-12
