VBBP_val ,INV_in_r_out_f_delay VBBN_val 0 ,INV_in_r_out_f_delay VBBN_val 0.45 ,INV_in_r_out_f_delay VBBN_val 0.9 ,INV_in_r_out_f_delay VBBN_val 1.35 ,INV_in_r_out_f_delay VBBN_val 1.8 
-1.800,54.64E-12,43.87E-12,35.87E-12,29.38E-12,23.77E-12
-1.650,54.75E-12,43.93E-12,35.88E-12,29.34E-12,23.69E-12
-1.500,54.89E-12,44.00E-12,35.90E-12,29.34E-12,23.64E-12
-1.350,55.04E-12,44.10E-12,35.95E-12,29.35E-12,23.61E-12
-1.200,55.23E-12,44.21E-12,36.02E-12,29.38E-12,23.61E-12
-1.050,55.42E-12,44.33E-12,36.10E-12,29.43E-12,23.62E-12
-900.0E-3,55.62E-12,44.46E-12,36.19E-12,29.49E-12,23.65E-12
-750.0E-3,55.84E-12,44.60E-12,36.28E-12,29.56E-12,23.69E-12
-600.0E-3,56.05E-12,44.75E-12,36.39E-12,29.64E-12,23.75E-12
-450.0E-3,56.27E-12,44.90E-12,36.51E-12,29.72E-12,23.81E-12
-300.0E-3,56.48E-12,45.06E-12,36.62E-12,29.82E-12,23.88E-12
-150.0E-3,56.71E-12,45.20E-12,36.74E-12,29.91E-12,23.96E-12
0.000,56.92E-12,45.35E-12,36.87E-12,30.01E-12,24.04E-12
