pw ,INV_pow_avg nw 8e-08 ,INV_pow_avg nw 1.2e-07 ,INV_pow_avg nw 1.6e-07 ,INV_pow_avg nw 2e-07 ,INV_pow_avg nw 2.4e-07 ,INV_pow_avg nw 2.8e-07 
160.0E-9,260.6E-9,269.1E-9,278.3E-9,288.1E-9,298.2E-9,308.3E-9
200.0E-9,272.7E-9,280.9E-9,289.9E-9,299.4E-9,309.1E-9,319.0E-9
240.0E-9,285.2E-9,292.9E-9,301.7E-9,310.9E-9,320.4E-9,330.1E-9
280.0E-9,297.7E-9,305.2E-9,313.6E-9,322.6E-9,331.8E-9,341.3E-9
320.0E-9,310.4E-9,317.6E-9,325.7E-9,334.4E-9,343.5E-9,352.7E-9
360.0E-9,323.1E-9,330.0E-9,337.9E-9,346.3E-9,355.1E-9,364.3E-9
400.0E-9,335.8E-9,342.5E-9,350.1E-9,358.3E-9,367.0E-9,375.9E-9
440.0E-9,348.6E-9,355.0E-9,362.4E-9,370.4E-9,378.9E-9,387.6E-9
480.0E-9,361.3E-9,367.5E-9,374.7E-9,382.5E-9,390.8E-9,399.4E-9
520.0E-9,374.1E-9,380.1E-9,387.0E-9,394.7E-9,402.8E-9,411.3E-9
560.0E-9,386.9E-9,392.6E-9,399.4E-9,406.9E-9,414.9E-9,423.2E-9
600.0E-9,399.6E-9,405.2E-9,411.8E-9,419.1E-9,427.0E-9,435.2E-9
