VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,486.8E-9,488.8E-9,491.7E-9,496.1E-9,503.4E-9
-1.650,451.8E-9,453.4E-9,456.0E-9,460.1E-9,466.9E-9
-1.500,424.5E-9,425.9E-9,428.1E-9,431.8E-9,438.3E-9
-1.350,403.6E-9,404.6E-9,406.5E-9,409.9E-9,416.0E-9
-1.200,387.8E-9,388.5E-9,390.1E-9,393.2E-9,398.9E-9
-1.050,376.0E-9,376.5E-9,377.8E-9,380.5E-9,385.9E-9
-900.0E-3,367.4E-9,367.7E-9,368.7E-9,371.1E-9,376.1E-9
-750.0E-3,361.2E-9,361.3E-9,362.0E-9,364.2E-9,368.8E-9
-600.0E-3,356.8E-9,356.7E-9,357.2E-9,359.1E-9,363.4E-9
-450.0E-3,353.9E-9,353.5E-9,353.8E-9,355.4E-9,359.4E-9
-300.0E-3,351.9E-9,351.4E-9,351.4E-9,352.7E-9,356.5E-9
-150.0E-3,350.8E-9,350.0E-9,349.8E-9,350.9E-9,354.4E-9
0.000,350.1E-9,349.2E-9,348.8E-9,349.7E-9,352.9E-9
