FBBP_var ,A0_1_P2_0_f_dly FBBN_var 0 ,A0_1_P2_0_f_dly FBBN_var 0.15 ,A0_1_P2_0_f_dly FBBN_var 0.3 ,A0_1_P2_0_f_dly FBBN_var 0.45 ,A0_1_P2_0_f_dly FBBN_var 0.6 ,A0_1_P2_0_f_dly FBBN_var 0.75 ,A0_1_P2_0_f_dly FBBN_var 0.9 
-900.0E-3,684.4E-12,653.0E-12,625.0E-12,599.9E-12,577.2E-12,556.5E-12,537.4E-12
-750.0E-3,739.6E-12,706.8E-12,677.4E-12,651.0E-12,627.0E-12,605.0E-12,584.8E-12
-600.0E-3,802.8E-12,768.3E-12,737.4E-12,709.4E-12,683.9E-12,660.6E-12,639.0E-12
-450.0E-3,875.5E-12,839.1E-12,806.3E-12,776.6E-12,749.5E-12,724.5E-12,701.2E-12
-300.0E-3,959.5E-12,920.9E-12,886.1E-12,854.3E-12,825.2E-12,798.3E-12,773.1E-12
-150.0E-3,1.057E-9,1.016E-9,978.7E-12,944.6E-12,913.2E-12,883.9E-12,856.5E-12
0.000,1.171E-9,1.127E-9,1.087E-9,1.050E-9,1.016E-9,983.8E-12,953.8E-12
