FBBP_var ,A0_1_P2_0_r_dly FBBN_var 0 ,A0_1_P2_0_r_dly FBBN_var 0.15 ,A0_1_P2_0_r_dly FBBN_var 0.3 ,A0_1_P2_0_r_dly FBBN_var 0.45 ,A0_1_P2_0_r_dly FBBN_var 0.6 ,A0_1_P2_0_r_dly FBBN_var 0.75 ,A0_1_P2_0_r_dly FBBN_var 0.9 
-900.0E-3,566.5E-12,529.0E-12,496.3E-12,467.7E-12,442.4E-12,419.8E-12,399.5E-12
-750.0E-3,598.7E-12,560.1E-12,526.4E-12,496.8E-12,470.5E-12,447.0E-12,425.9E-12
-600.0E-3,635.2E-12,595.4E-12,560.6E-12,529.9E-12,502.5E-12,478.0E-12,455.8E-12
-450.0E-3,676.8E-12,635.6E-12,599.5E-12,567.5E-12,539.0E-12,513.3E-12,489.9E-12
-300.0E-3,724.4E-12,681.7E-12,644.1E-12,610.7E-12,580.7E-12,553.6E-12,528.9E-12
-150.0E-3,779.2E-12,734.7E-12,695.4E-12,660.3E-12,628.7E-12,600.0E-12,573.7E-12
0.000,842.5E-12,796.0E-12,754.6E-12,717.5E-12,684.0E-12,653.4E-12,625.3E-12
