FBBP_var ,DUT_Power FBBN_var 0 ,DUT_Power FBBN_var 0.15 ,DUT_Power FBBN_var 0.3 ,DUT_Power FBBN_var 0.45 ,DUT_Power FBBN_var 0.6 ,DUT_Power FBBN_var 0.75 ,DUT_Power FBBN_var 0.9 
-900.0E-3,114.2E-9,116.7E-9,120.1E-9,124.9E-9,131.7E-9,142.1E-9,159.5E-9
-750.0E-3,106.1E-9,108.5E-9,111.8E-9,116.3E-9,122.7E-9,132.2E-9,147.6E-9
-600.0E-3,100.4E-9,102.7E-9,105.9E-9,110.2E-9,116.2E-9,125.0E-9,139.0E-9
-450.0E-3,96.24E-9,98.51E-9,101.6E-9,105.7E-9,111.5E-9,119.8E-9,132.6E-9
-300.0E-3,93.21E-9,95.44E-9,98.44E-9,102.5E-9,108.1E-9,116.1E-9,128.0E-9
-150.0E-3,90.94E-9,93.13E-9,96.10E-9,100.1E-9,105.6E-9,113.3E-9,124.5E-9
0.000,89.20E-9,91.37E-9,94.30E-9,98.27E-9,103.7E-9,111.2E-9,121.9E-9
