FBBP_var ,DUT_Power FBBN_var 0 ,DUT_Power FBBN_var 0.15 ,DUT_Power FBBN_var 0.3 ,DUT_Power FBBN_var 0.45 ,DUT_Power FBBN_var 0.6 ,DUT_Power FBBN_var 0.75 ,DUT_Power FBBN_var 0.9 
-900.0E-3,46.37E-9,47.66E-9,49.34E-9,51.58E-9,54.64E-9,58.93E-9,65.20E-9
-750.0E-3,43.63E-9,44.87E-9,46.49E-9,48.65E-9,51.58E-9,55.68E-9,61.60E-9
-600.0E-3,41.66E-9,42.85E-9,44.42E-9,46.51E-9,49.36E-9,53.30E-9,58.94E-9
-450.0E-3,40.20E-9,41.36E-9,42.88E-9,44.93E-9,47.70E-9,51.53E-9,56.94E-9
-300.0E-3,39.11E-9,40.23E-9,41.72E-9,43.73E-9,46.44E-9,50.17E-9,55.40E-9
-150.0E-3,38.27E-9,39.36E-9,40.82E-9,42.79E-9,45.45E-9,49.11E-9,54.19E-9
0.000,37.60E-9,38.67E-9,40.10E-9,42.03E-9,44.66E-9,48.24E-9,53.22E-9
