FBBP_var ,avg_delay FBBN_var 0 ,avg_delay FBBN_var 0.15 ,avg_delay FBBN_var 0.3 ,avg_delay FBBN_var 0.45 ,avg_delay FBBN_var 0.6 ,avg_delay FBBN_var 0.75 ,avg_delay FBBN_var 0.9 
-900.0E-3,4.310E-9,3.803E-9,3.401E-9,3.079E-9,2.817E-9,2.600E-9,2.418E-9
-750.0E-3,4.785E-9,4.256E-9,3.835E-9,3.495E-9,3.217E-9,2.984E-9,2.786E-9
-600.0E-3,5.370E-9,4.817E-9,4.373E-9,4.012E-9,3.712E-9,3.459E-9,3.241E-9
-450.0E-3,6.098E-9,5.516E-9,5.045E-9,4.656E-9,4.330E-9,4.051E-9,3.807E-9
-300.0E-3,7.013E-9,6.395E-9,5.888E-9,5.465E-9,5.104E-9,4.791E-9,4.514E-9
-150.0E-3,8.170E-9,7.506E-9,6.953E-9,6.484E-9,6.079E-9,5.721E-9,5.402E-9
0.000,9.642E-9,8.916E-9,8.303E-9,7.774E-9,7.309E-9,6.895E-9,6.519E-9
