FBBP_var ,diode_A_delay_avg PB_var 0 FBBN_var 0 ,diode_A_delay_avg PB_var 0 FBBN_var 0.45 ,diode_A_delay_avg PB_var 0 FBBN_var 0.9 ,diode_A_delay_avg PB_var 0 FBBN_var 1.35 ,diode_A_delay_avg PB_var 0 FBBN_var 1.8 ,diode_A_delay_avg PB_var 8e-09 FBBN_var 0 ,diode_A_delay_avg PB_var 8e-09 FBBN_var 0.45 ,diode_A_delay_avg PB_var 8e-09 FBBN_var 0.9 ,diode_A_delay_avg PB_var 8e-09 FBBN_var 1.35 ,diode_A_delay_avg PB_var 8e-09 FBBN_var 1.8 ,diode_A_delay_avg PB_var 1.6e-08 FBBN_var 0 ,diode_A_delay_avg PB_var 1.6e-08 FBBN_var 0.45 ,diode_A_delay_avg PB_var 1.6e-08 FBBN_var 0.9 ,diode_A_delay_avg PB_var 1.6e-08 FBBN_var 1.35 ,diode_A_delay_avg PB_var 1.6e-08 FBBN_var 1.8 
-1.800,27.14E-12,25.86E-12,24.70E-12,23.62E-12,22.59E-12,30.80E-12,29.35E-12,28.03E-12,26.82E-12,25.69E-12,34.08E-12,32.49E-12,31.04E-12,29.71E-12,28.48E-12
-1.350,28.70E-12,27.36E-12,26.13E-12,24.99E-12,23.89E-12,32.51E-12,30.98E-12,29.59E-12,28.31E-12,27.11E-12,35.98E-12,34.30E-12,32.77E-12,31.37E-12,30.07E-12
-900.0E-3,30.40E-12,28.98E-12,27.68E-12,26.46E-12,25.30E-12,34.45E-12,32.84E-12,31.37E-12,30.01E-12,28.74E-12,38.16E-12,36.39E-12,34.77E-12,33.28E-12,31.89E-12
-450.0E-3,32.28E-12,30.78E-12,29.40E-12,28.11E-12,26.88E-12,36.68E-12,34.98E-12,33.41E-12,31.96E-12,30.60E-12,40.71E-12,38.83E-12,37.10E-12,35.50E-12,34.02E-12
0.000,34.41E-12,32.82E-12,31.35E-12,29.98E-12,28.66E-12,39.27E-12,37.46E-12,35.78E-12,34.22E-12,32.76E-12,43.70E-12,41.69E-12,39.83E-12,38.11E-12,36.51E-12
