FBBP_var ,diode_A_f_O_f PB_var 0 FBBN_var 0 ,diode_A_f_O_f PB_var 0 FBBN_var 0.45 ,diode_A_f_O_f PB_var 0 FBBN_var 0.9 ,diode_A_f_O_f PB_var 0 FBBN_var 1.35 ,diode_A_f_O_f PB_var 0 FBBN_var 1.8 ,diode_A_f_O_f PB_var 8e-09 FBBN_var 0 ,diode_A_f_O_f PB_var 8e-09 FBBN_var 0.45 ,diode_A_f_O_f PB_var 8e-09 FBBN_var 0.9 ,diode_A_f_O_f PB_var 8e-09 FBBN_var 1.35 ,diode_A_f_O_f PB_var 8e-09 FBBN_var 1.8 ,diode_A_f_O_f PB_var 1.6e-08 FBBN_var 0 ,diode_A_f_O_f PB_var 1.6e-08 FBBN_var 0.45 ,diode_A_f_O_f PB_var 1.6e-08 FBBN_var 0.9 ,diode_A_f_O_f PB_var 1.6e-08 FBBN_var 1.35 ,diode_A_f_O_f PB_var 1.6e-08 FBBN_var 1.8 
-1.800,31.38E-12,30.11E-12,28.94E-12,27.85E-12,26.83E-12,36.45E-12,35.06E-12,33.76E-12,32.53E-12,31.37E-12,41.06E-12,39.55E-12,38.13E-12,36.77E-12,35.48E-12
-1.350,33.51E-12,32.16E-12,30.90E-12,29.73E-12,28.63E-12,38.85E-12,37.37E-12,35.98E-12,34.66E-12,33.40E-12,43.82E-12,42.21E-12,40.68E-12,39.22E-12,37.83E-12
-900.0E-3,35.84E-12,34.40E-12,33.05E-12,31.78E-12,30.59E-12,41.66E-12,40.08E-12,38.58E-12,37.15E-12,35.78E-12,47.10E-12,45.37E-12,43.71E-12,42.13E-12,40.61E-12
-450.0E-3,38.49E-12,36.94E-12,35.48E-12,34.10E-12,32.80E-12,45.00E-12,43.28E-12,41.65E-12,40.08E-12,38.58E-12,51.05E-12,49.16E-12,47.34E-12,45.60E-12,43.92E-12
0.000,41.57E-12,39.89E-12,38.30E-12,36.79E-12,35.35E-12,48.98E-12,47.09E-12,45.29E-12,43.56E-12,41.89E-12,55.81E-12,53.72E-12,51.70E-12,49.75E-12,47.88E-12
