Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
3,SIMS_NCL_SYS_06_sim,avg_p_reg_o,128.6e-9,,,
"Parameters: V_FBBN=450m, V_FBBP=-450m",,,,,,
4,SIMS_NCL_SYS_06_sim,V_SUPPLY,,,,
4,SIMS_NCL_SYS_06_sim,V_FBBP,,,,
4,SIMS_NCL_SYS_06_sim,V_FBBN,,,,
4,SIMS_NCL_SYS_06_sim,A<15:0>,,,,
4,SIMS_NCL_SYS_06_sim,B<15:0>,,,,
4,SIMS_NCL_SYS_06_sim,CI<1:0>,,,,
4,SIMS_NCL_SYS_06_sim,SUM<15:0>,,,,
4,SIMS_NCL_SYS_06_sim,CO<1:0>,,,,
4,SIMS_NCL_SYS_06_sim,Reg_O_ko,,,,
4,SIMS_NCL_SYS_06_sim,Reg_I_ko,,,,
4,SIMS_NCL_SYS_06_sim,Areg,,,,
4,SIMS_NCL_SYS_06_sim,Breg,,,,
4,SIMS_NCL_SYS_06_sim,Cireg,,,,
4,SIMS_NCL_SYS_06_sim,VDD_90pc,405e-3,,,
4,SIMS_NCL_SYS_06_sim,VDD_10pc,45e-3,,,
4,SIMS_NCL_SYS_06_sim,VNEG_90pc,-405e-3,,,
4,SIMS_NCL_SYS_06_sim,VNEG_10pc,-45e-3,,,
4,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_R,9.675e-9,,,
4,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_F,15.48e-9,,,
4,SIMS_NCL_SYS_06_sim,A1_2_SUM14_delay_SUM,25.15e-9,,,
4,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_R,296.4e-12,,,
4,SIMS_NCL_SYS_06_sim,A1_2_A1reg_delay_F,269.8e-12,,,
4,SIMS_NCL_SYS_06_sim,avg_p_ALL,3.918e-6,,,
4,SIMS_NCL_SYS_06_sim,avg_p_DUT_1_1,197.4e-9,,,
4,SIMS_NCL_SYS_06_sim,avg_p_DUT_2_1,198.4e-9,,,
4,SIMS_NCL_SYS_06_sim,avg_p_DUT_3_1,199.6e-9,,,
4,SIMS_NCL_SYS_06_sim,avg_p_reg_in,232.5e-9,,,
4,SIMS_NCL_SYS_06_sim,avg_p_reg_o,128.7e-9,,,

