Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
3,NCL_SYS_06_FBBN_BFX,avg_p_DN_out_INV,3.099e-9,,,
3,NCL_SYS_06_FBBN_BFX,avg_p_FBBP_CIRCUIT,528.3e-9,,,
"Parameters: BFx50_S1nW=240n, BFx50_S1pW=320n",,,,,,
4,NCL_SYS_06_FBBN_BFX,V_SUPPLY,,,,
4,NCL_SYS_06_FBBN_BFX,V_FBBP,,,,
4,NCL_SYS_06_FBBN_BFX,FBBN_net,,,,
4,NCL_SYS_06_FBBN_BFX,A<15:0>,,,,
4,NCL_SYS_06_FBBN_BFX,B<15:0>,,,,
4,NCL_SYS_06_FBBN_BFX,CI<1:0>,,,,
4,NCL_SYS_06_FBBN_BFX,SUM<15:0>,,,,
4,NCL_SYS_06_FBBN_BFX,CO<1:0>,,,,
4,NCL_SYS_06_FBBN_BFX,Reg_O_ko,,,,
4,NCL_SYS_06_FBBN_BFX,Reg_I_ko,,,,
4,NCL_SYS_06_FBBN_BFX,regA,,,,
4,NCL_SYS_06_FBBN_BFX,regB,,,,
4,NCL_SYS_06_FBBN_BFX,regCI,,,,
4,NCL_SYS_06_FBBN_BFX,VDD_90pc,405e-3,,,
4,NCL_SYS_06_FBBN_BFX,VDD_10pc,45e-3,,,
4,NCL_SYS_06_FBBN_BFX,VNEG_90pc,-405e-3,,,
4,NCL_SYS_06_FBBN_BFX,VNEG_10pc,-45e-3,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_R,13.97e-9,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_F,17.71e-9,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_SUM14_delay_SUM,31.68e-9,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_R,290.2e-12,,,
4,NCL_SYS_06_FBBN_BFX,A1_2_A1reg_delay_F,269e-12,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_ALL,3.836e-6,,,
4,NCL_SYS_06_FBBN_BFX,avg_p_DUT_1_1,162.9e-9,,,
