VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-1.650,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-1.500,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-1.350,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-1.200,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-1.050,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-900.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-750.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-600.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-450.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-300.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
-150.0E-3,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
0.000,168.2E-12,444.4E-12,1.193E-9,3.218E-9,8.654E-9
