VBBP_val ,INV_pow_avg VBBN_val 0 ,INV_pow_avg VBBN_val 0.45 ,INV_pow_avg VBBN_val 0.9 ,INV_pow_avg VBBN_val 1.35 ,INV_pow_avg VBBN_val 1.8 
-1.800,289.2E-9,289.2E-9,289.2E-9,289.2E-9,289.2E-9
-1.650,219.1E-9,219.1E-9,219.1E-9,219.1E-9,219.1E-9
-1.500,164.4E-9,164.4E-9,164.4E-9,164.4E-9,164.4E-9
-1.350,122.2E-9,122.2E-9,122.2E-9,122.2E-9,122.2E-9
-1.200,90.17E-9,90.17E-9,90.17E-9,90.17E-9,90.17E-9
-1.050,66.09E-9,66.09E-9,66.10E-9,66.10E-9,66.10E-9
-900.0E-3,48.20E-9,48.20E-9,48.20E-9,48.20E-9,48.20E-9
-750.0E-3,35.01E-9,35.01E-9,35.01E-9,35.01E-9,35.01E-9
-600.0E-3,25.36E-9,25.36E-9,25.36E-9,25.36E-9,25.36E-9
-450.0E-3,18.34E-9,18.34E-9,18.34E-9,18.34E-9,18.34E-9
-300.0E-3,13.25E-9,13.25E-9,13.25E-9,13.25E-9,13.25E-9
-150.0E-3,9.574E-9,9.574E-9,9.574E-9,9.574E-9,9.574E-9
0.000,6.920E-9,6.920E-9,6.920E-9,6.920E-9,6.920E-9
