FBBP_var ,diode_A_r_O_r PB_var 0 FBBN_var 0 ,diode_A_r_O_r PB_var 0 FBBN_var 0.45 ,diode_A_r_O_r PB_var 0 FBBN_var 0.9 ,diode_A_r_O_r PB_var 0 FBBN_var 1.35 ,diode_A_r_O_r PB_var 0 FBBN_var 1.8 ,diode_A_r_O_r PB_var 8e-09 FBBN_var 0 ,diode_A_r_O_r PB_var 8e-09 FBBN_var 0.45 ,diode_A_r_O_r PB_var 8e-09 FBBN_var 0.9 ,diode_A_r_O_r PB_var 8e-09 FBBN_var 1.35 ,diode_A_r_O_r PB_var 8e-09 FBBN_var 1.8 ,diode_A_r_O_r PB_var 1.6e-08 FBBN_var 0 ,diode_A_r_O_r PB_var 1.6e-08 FBBN_var 0.45 ,diode_A_r_O_r PB_var 1.6e-08 FBBN_var 0.9 ,diode_A_r_O_r PB_var 1.6e-08 FBBN_var 1.35 ,diode_A_r_O_r PB_var 1.6e-08 FBBN_var 1.8 
-1.800,162.2E-12,130.8E-12,107.7E-12,88.83E-12,72.04E-12,190.0E-12,149.9E-12,122.5E-12,101.5E-12,83.62E-12,213.6E-12,165.5E-12,134.2E-12,111.1E-12,92.26E-12
-1.350,174.4E-12,140.9E-12,116.7E-12,97.19E-12,79.90E-12,202.7E-12,160.1E-12,131.4E-12,109.7E-12,91.40E-12,226.7E-12,175.9E-12,143.1E-12,119.3E-12,99.99E-12
-900.0E-3,188.7E-12,153.3E-12,128.2E-12,108.0E-12,90.33E-12,217.5E-12,172.7E-12,142.9E-12,120.4E-12,101.8E-12,241.9E-12,188.6E-12,154.6E-12,130.1E-12,110.3E-12
-450.0E-3,206.8E-12,169.9E-12,143.9E-12,123.2E-12,105.1E-12,235.8E-12,189.2E-12,158.4E-12,135.5E-12,116.4E-12,248.8E-12,197.6E-12,164.7E-12,140.9E-12,121.8E-12
0.000,232.1E-12,193.9E-12,167.0E-12,145.8E-12,127.2E-12,243.8E-12,201.3E-12,172.6E-12,151.1E-12,133.2E-12,1.257E-9,1.210E-9,1.179E-9,122.3E-12,120.9E-12
