FBBP_var ,diode_B_r_O_r PB_var 0 FBBN_var 0 ,diode_B_r_O_r PB_var 0 FBBN_var 0.45 ,diode_B_r_O_r PB_var 0 FBBN_var 0.9 ,diode_B_r_O_r PB_var 0 FBBN_var 1.35 ,diode_B_r_O_r PB_var 0 FBBN_var 1.8 ,diode_B_r_O_r PB_var 8e-09 FBBN_var 0 ,diode_B_r_O_r PB_var 8e-09 FBBN_var 0.45 ,diode_B_r_O_r PB_var 8e-09 FBBN_var 0.9 ,diode_B_r_O_r PB_var 8e-09 FBBN_var 1.35 ,diode_B_r_O_r PB_var 8e-09 FBBN_var 1.8 ,diode_B_r_O_r PB_var 1.6e-08 FBBN_var 0 ,diode_B_r_O_r PB_var 1.6e-08 FBBN_var 0.45 ,diode_B_r_O_r PB_var 1.6e-08 FBBN_var 0.9 ,diode_B_r_O_r PB_var 1.6e-08 FBBN_var 1.35 ,diode_B_r_O_r PB_var 1.6e-08 FBBN_var 1.8 
-1.800,177.0E-12,141.5E-12,115.2E-12,93.67E-12,74.79E-12,206.2E-12,161.2E-12,130.3E-12,106.4E-12,86.32E-12,231.8E-12,177.9E-12,142.7E-12,116.6E-12,95.26E-12
-1.350,188.1E-12,150.7E-12,123.4E-12,101.3E-12,82.10E-12,217.3E-12,170.2E-12,138.2E-12,113.8E-12,93.40E-12,242.9E-12,186.7E-12,150.5E-12,123.9E-12,102.2E-12
-900.0E-3,201.3E-12,162.2E-12,134.1E-12,111.5E-12,91.95E-12,230.4E-12,181.5E-12,148.7E-12,123.8E-12,103.1E-12,255.7E-12,197.8E-12,160.7E-12,133.7E-12,111.8E-12
-450.0E-3,218.2E-12,177.8E-12,149.0E-12,126.0E-12,106.2E-12,246.7E-12,196.6E-12,163.3E-12,138.1E-12,117.1E-12,257.9E-12,203.8E-12,168.7E-12,142.8E-12,121.6E-12
0.000,242.2E-12,200.9E-12,171.5E-12,148.0E-12,127.8E-12,246.5E-12,203.3E-12,173.4E-12,150.3E-12,130.8E-12,4.188E-9,4.168E-9,2.123E-9,122.5E-12,113.5E-12
